lon,lat,type,loctype,address,north,south,east,west
235.212112,-24.6807263,establishment,approximate,"ducie island, pitcairn islands",-24.6718612,-24.6944778,-124.7697114,-124.7999239
190.4663523,16.7295035,establishment,approximate,"johnston island, united states minor outlying islands",16.7383244,16.7195863,-169.5193117,-169.5477653
220.9182876,-9.7812162,administrative_area_level_1,approximate,"marquesas islands, french polynesia",-7.828246,-10.539028,-138.5935209,-140.7209319
197.9213344,5.8885026,establishment,approximate,"palmyra atoll, united states minor outlying islands",5.8930932,5.8708528,-162.0427438,-162.1085465
231.6757624,-24.3767537,country,approximate,pitcairn islands,-23.7928845,-25.1776023,-124.5410156,-130.9268188
217.5747647,-16.0691858,establishment,approximate,"atoll raroia, french polynesia",-15.9240971,-16.2498518,-142.3059511,-142.5346366
200.6809,3.8743,establishment,approximate,"tabuaeran, kiribati",3.9454371,3.8032195,-159.2389702,-159.3993018
225.1436111,-23.1061111,establishment,approximate,"tarauru roa, french polynesia",-23.0958478,-23.1163736,-134.8403815,-134.8723963
210,-23,establishment,approximate,"tubuai, french polynesia",-22.9897286,-23.0102706,-149.9839926,-150.0160074
202.5722,1.872135,country,approximate,"kiritimati island, kiribati",,,,